问题,答案,来源
不当获取/使用信息里的“信息”指什么如何处理？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
不当获取/使用信息里的“信息”指什么的判断标准是什么？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
关于不当获取/使用信息里的“信息”指什么，平台规则是怎么说的？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
商家遇到不当获取/使用信息里的“信息”指什么应该怎么办？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
不当获取/使用信息里的“信息”指什么适用于哪些情况？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
不当获取/使用信息里的“信息”指什么需要注意什么？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
京东规则中不当获取/使用信息里的“信息”指什么怎么说明？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
不当获取/使用信息里的“信息”指什么会有什么影响？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
不当获取/使用信息里的“信息”指什么需要满足什么条件？,"不当获取/使用信息里的“信息”指“平台商业信息”和“他人信息”。
（一）平台商业信息是指平台的产品、技术、软件、程序、数据等信息，包含但不限于店铺信息、创作者信息、团长信息、商品信息、成交额、搜索、浏览、加购、订单、评价等相关信息。
（二）他人信息包括但不限于：真实姓名、手机号码、收货地址、身份证信息、及其他涉及他人隐私权或人身权或商业秘密等相关信息。",大模型生成
请问商家不当获取/使用信息的情形有哪些？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
想了解一下，商家不当获取/使用信息的情形有哪些？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些具体是怎么规定的？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些包括哪些内容？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些有哪些要求？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些如何处理？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些的判断标准是什么？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
关于商家不当获取/使用信息的情形有哪些，平台规则是怎么说的？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家遇到商家不当获取/使用信息的情形有哪些应该怎么办？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些适用于哪些情况？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些需要注意什么？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
京东规则中商家不当获取/使用信息的情形有哪些怎么说明？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些会有什么影响？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
商家不当获取/使用信息的情形有哪些需要满足什么条件？,"商家不当获取/使用信息的情形包括但不限于商家在未经平台或他人事先许可的情况下，进行如下任一行为：
（一）向第三方租借账号；
（二）与第三方共享账号；
（三）自行、授权或协助第三方对平台商业信息或平台系统进行地址扫描、网络端口扫描、操作系统探测等扫描或探测；
（四）自行、授权或协助第三方以包括通过机器人、蜘蛛等程序或设备监视、复制、传播、展示、镜像、上传、下载等方式擅自获取使用平台商业信息；
（五）向第三方有偿或无偿提供平台商业信息或他人信息；
（六）对外披露、共享平台商业信息或他人信息；
（七）商家违规使用第三方软件，导致平台商业信息或他人信息存在泄露风险或已经发生泄露；
（八）商家在职员工或员工离职前，滥用/泄露平台商业信息或他人信息；
（九）商家违规开通子账号，滥用/泄露平台商业信息或他人信息；
（十）盗用他人账户；
（十一）其他未经允许或违反有关信息数据安全的法律法规、政策文件、协议、规则等。",大模型生成
请问骗取他人财物违规包括哪些情形？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
想了解一下，骗取他人财物违规包括哪些情形？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形具体是怎么规定的？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形包括哪些内容？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形有哪些要求？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形如何处理？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形的判断标准是什么？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
关于骗取他人财物违规包括哪些情形，平台规则是怎么说的？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
商家遇到骗取他人财物违规包括哪些情形应该怎么办？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形适用于哪些情况？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形需要注意什么？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
京东规则中骗取他人财物违规包括哪些情形怎么说明？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形会有什么影响？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
骗取他人财物违规包括哪些情形需要满足什么条件？,"商家骗取他人财物主要包括但不限于以下情形：
（一）商家在交易中诱导客户违背京东正常交易流程操作，获取客户财物的；
（二）商家提供商品或者服务过程中有欺诈行为的。例如交付商品/服务与消费者订单不一致从而获取不当利益的情形，或故意提供无法使用的商品或无法履约的服务的情形；
（三）商家发送钓鱼链接或病毒信息用于骗取他人财物的；
（四）商家假借京东及其关联公司工作人员名义行骗的；
（五）商家向他人提供京东商家账户实施诈骗行为的。",大模型生成
请问资质不合格包括哪些情形？,"包括但不限于以下情形：
未按京东要求时间更新、提交符合京东要求的最新资质或信息的；
在风险调查中不提交材料或提交的材料不符合平台要求的；
商家向京东提供虚假资料或信息；
因商家行为引发行政机关调查或法律诉讼的，若商家存在提供的联系方式无效，或怠于处置、消极应对、拒不配合提交相关资料等情形；
商家未提交符合京东要求的商品信息，包括但不限于商品的标识标志信息（如产品名称、生产厂厂名、厂址、产品质量检验合格证明、生产日期和安全使用期等）。
未更新或变更证照信息。未更新店铺证照信息，指商家未在其营业执照信息或其店铺经营业务有关的行政许可信息变更完成之日起十个工作日内完成更新店铺证照信息的行为；未变更证照信息，指商家实际经营信息发生变化但未变更其营业执照信息及其店铺经营业务有关的行政许可信息登记事项的行为。",大模型生成
想了解一下，资质不合格包括哪些情形？,"包括但不限于以下情形：
未按京东要求时间更新、提交符合京东要求的最新资质或信息的；
在风险调查中不提交材料或提交的材料不符合平台要求的；
商家向京东提供虚假资料或信息；
因商家行为引发行政机关调查或法律诉讼的，若商家存在提供的联系方式无效，或怠于处置、消极应对、拒不配合提交相关资料等情形；
商家未提交符合京东要求的商品信息，包括但不限于商品的标识标志信息（如产品名称、生产厂厂名、厂址、产品质量检验合格证明、生产日期和安全使用期等）。
未更新或变更证照信息。未更新店铺证照信息，指商家未在其营业执照信息或其店铺经营业务有关的行政许可信息变更完成之日起十个工作日内完成更新店铺证照信息的行为；未变更证照信息，指商家实际经营信息发生变化但未变更其营业执照信息及其店铺经营业务有关的行政许可信息登记事项的行为。",大模型生成
资质不合格包括哪些情形具体是怎么规定的？,"包括但不限于以下情形：
未按京东要求时间更新、提交符合京东要求的最新资质或信息的；
在风险调查中不提交材料或提交的材料不符合平台要求的；
商家向京东提供虚假资料或信息；
因商家行为引发行政机关调查或法律诉讼的，若商家存在提供的联系方式无效，或怠于处置、消极应对、拒不配合提交相关资料等情形；
商家未提交符合京东要求的商品信息，包括但不限于商品的标识标志信息（如产品名称、生产厂厂名、厂址、产品质量检验合格证明、生产日期和安全使用期等）。
未更新或变更证照信息。未更新店铺证照信息，指商家未在其营业执照信息或其店铺经营业务有关的行政许可信息变更完成之日起十个工作日内完成更新店铺证照信息的行为；未变更证照信息，指商家实际经营信息发生变化但未变更其营业执照信息及其店铺经营业务有关的行政许可信息登记事项的行为。",大模型生成
资质不合格包括哪些情形包括哪些内容？,"包括但不限于以下情形：
未按京东要求时间更新、提交符合京东要求的最新资质或信息的；
在风险调查中不提交材料或提交的材料不符合平台要求的；
商家向京东提供虚假资料或信息；
因商家行为引发行政机关调查或法律诉讼的，若商家存在提供的联系方式无效，或怠于处置、消极应对、拒不配合提交相关资料等情形；
商家未提交符合京东要求的商品信息，包括但不限于商品的标识标志信息（如产品名称、生产厂厂名、厂址、产品质量检验合格证明、生产日期和安全使用期等）。
未更新或变更证照信息。未更新店铺证照信息，指商家未在其营业执照信息或其店铺经营业务有关的行政许可信息变更完成之日起十个工作日内完成更新店铺证照信息的行为；未变更证照信息，指商家实际经营信息发生变化但未变更其营业执照信息及其店铺经营业务有关的行政许可信息登记事项的行为。",大模型生成
资质不合格包括哪些情形有哪些要求？,"包括但不限于以下情形：
未按京东要求时间更新、提交符合京东要求的最新资质或信息的；
在风险调查中不提交材料或提交的材料不符合平台要求的；
商家向京东提供虚假资料或信息；
因商家行为引发行政机关调查或法律诉讼的，若商家存在提供的联系方式无效，或怠于处置、消极应对、拒不配合提交相关资料等情形；
商家未提交符合京东要求的商品信息，包括但不限于商品的标识标志信息（如产品名称、生产厂厂名、厂址、产品质量检验合格证明、生产日期和安全使用期等）。
未更新或变更证照信息。未更新店铺证照信息，指商家未在其营业执照信息或其店铺经营业务有关的行政许可信息变更完成之日起十个工作日内完成更新店铺证照信息的行为；未变更证照信息，指商家实际经营信息发生变化但未变更其营业执照信息及其店铺经营业务有关的行政许可信息登记事项的行为。",大模型生成
